       ticker  buy  buy date  buy price  sell  sell date  sell price  return
90    pwx.txt  buy  20200409       3.01  sell   20200827        3.25    0.08
91   pwxa.txt  buy  20190806       3.05  sell   20191018        2.96   -0.03
92   pwxa.txt  buy  20200409       3.01  sell   20200827        3.25    0.08
93    qrs.txt  buy  20200515       2.85  sell   20200903        3.70    0.30
94    r22.txt  buy  20190326      18.74  sell   20190603       18.15   -0.03
95    r22.txt  buy  20200505      28.53  sell   20200713       28.53    0.00
96    sgn.txt  buy  20200131       3.39  sell   20200330        2.60   -0.23
97    sgn.txt  buy  20200514       3.50  sell   20201028        6.88    0.97
98    sgr.txt  buy  20200131       3.39  sell   20200330        2.60   -0.23
99    sgr.txt  buy  20200514       3.50  sell   20201028        6.88    0.97
100   snt.txt  buy  20200511      15.35  sell   20200911       22.20    0.45
101   snx.txt  buy  20200513       2.25  sell   20200917        5.34    1.37
102   stp.txt  buy  20190429     339.08  sell   20190516      236.67   -0.30
103   stp.txt  buy  20200520     143.00  sell   20201014      182.00    0.27
104   stx.txt  buy  20200515       2.76  sell   20200806        2.99    0.08
105   tbl.txt  buy  20200512      14.75  sell   20200817       25.20    0.71
106   ten.txt  buy  20201013     649.00  sell   20201110      587.00   -0.10
107   tim.txt  buy  20190326       6.51  sell   20190806        8.13    0.25
108   tim.txt  buy  20191008       8.15  sell   20200319        8.08   -0.01
109   tor.txt  buy  20200511       7.62  sell   20200904       12.10    0.59
110   tsg.txt  buy  20190326       3.36  sell   20190523        2.96   -0.12
111   ulg.txt  buy  20190725      21.39  sell   20190910       18.45   -0.14
112   ulg.txt  buy  20200428      30.87  sell   20200803       31.95    0.03
113   unt.txt  buy  20200511      29.74  sell   20200901       39.85    0.34
114   urs.txt  buy  20200526       0.64  sell   20200814        0.67    0.05
115   vin.txt  buy  20200625       5.58  sell   20200810        5.08   -0.09
116   vot.txt  buy  20200515      12.00  sell   20200902       11.40   -0.05
117   vtl.txt  buy  20190326       2.18  sell   20190606        1.97   -0.10
118   wlt.txt  buy  20190326      11.57  sell   20190424       10.47   -0.10
119   wpl.txt  buy  20190918      65.00  sell   20200318       53.20   -0.18
120   wpl.txt  buy  20200519      66.40  sell   20200921       66.60    0.00
